恒力股份,江苏 苏州,http://mp.ppsj.com.cn/brand1/600346SH.html,0_0.html,0_0.txt
中来股份,江苏 苏州,http://mp.ppsj.com.cn/brand1/300393SZ.html,0_1.html,0_1.txt
维柔纸业,江苏 苏州,http://mp.ppsj.com.cn/brand1/weirouzhiye.html,0_2.html,0_2.txt
伊恋 雪依,江苏 常州,http://mp.ppsj.com.cn/brand1/czyilian.html,0_3.html,0_3.txt
好想纸业,江苏 镇江,http://mp.ppsj.com.cn/brand1/haoxiangzhiye.html,0_4.html,0_4.txt
南京供销纸业,江苏 南京,http://mp.ppsj.com.cn/brand1/nanjinggongxiaozhiye.html,0_5.html,0_5.txt
妙莲 洪泽湖纸业,江苏 淮安,http://mp.ppsj.com.cn/brand1/miaolianhongzehuzhiye.html,0_6.html,0_6.txt
妙卫纸业,江苏 南通,http://mp.ppsj.com.cn/brand1/miaoweizhiye.html,0_7.html,0_7.txt
佩博,江苏 苏州,http://mp.ppsj.com.cn/brand1/peibo.html,0_8.html,0_8.txt
亦乐纸业,江苏 苏州,http://mp.ppsj.com.cn/brand1/yilezhiye.html,0_9.html,0_9.txt
吉利雅,江苏 苏州,http://mp.ppsj.com.cn/brand1/jiliya.html,0_10.html,0_10.txt
吉强纸品 希尔曼,江苏 扬州,http://mp.ppsj.com.cn/brand1/jiqiangzhipinxierman.html,0_11.html,0_11.txt
丝奇雅 苏州亿越,江苏 苏州,http://mp.ppsj.com.cn/brand1/siqiya.html,0_12.html,0_12.txt
远东纸业 安洁尔,江苏 盐城,http://mp.ppsj.com.cn/brand1/fep.html,0_13.html,0_13.txt
宝姿实业,江苏 淮安,http://mp.ppsj.com.cn/brand1/sino-purity.html,0_14.html,0_14.txt
长江纺织,江苏 南京,http://mp.ppsj.com.cn/jsbtfz.html,1_15.html,1_15.txt
长江玻璃,江苏 常州,http://mp.ppsj.com.cn/cnsafeglass.html,1_16.html,1_16.txt
长虹牌,江苏 盐城,http://mp.ppsj.com.cn/echanghong.html,1_17.html,1_17.txt
长河,江苏 无锡,http://mp.ppsj.com.cn/wuxipum.html,1_18.html,1_18.txt
长风牌,江苏 无锡,http://mp.ppsj.com.cn/jscfdl.html,1_19.html,1_19.txt
环球地毯,江苏 常州,http://mp.ppsj.com.cn/huanqiuditan.html,1_20.html,1_20.txt
甘汁园,江苏 南京,http://mp.ppsj.com.cn/gzyfood.html,1_21.html,1_21.txt
通灵,江苏 南京,http://mp.ppsj.com.cn/tesiro.html,1_22.html,1_22.txt
苏果超市,江苏 南京,http://mp.ppsj.com.cn/suguo.html,1_23.html,1_23.txt
凤灵,江苏 泰州,http://mp.ppsj.com.cn/feng-ling.html,1_24.html,1_24.txt
奔洋,江苏 苏州,http://mp.ppsj.com.cn/hxglove.html,1_25.html,1_25.txt
奔球,江苏 苏州,http://mp.ppsj.com.cn/benqiu.html,1_26.html,1_26.txt
奔达,江苏 无锡,http://mp.ppsj.com.cn/wuxibenda.html,1_27.html,1_27.txt
倍加洁,江苏 扬州,http://mp.ppsj.com.cn/toothbrush.html,1_28.html,1_28.txt
贝斯特,江苏 无锡,http://mp.ppsj.com.cn/wuxibest.html,1_29.html,1_29.txt
长江纺织,江苏 南京,http://mp.ppsj.com.cn/jsbtfz.html,2_30.html,2_30.txt
长江玻璃,江苏 常州,http://mp.ppsj.com.cn/cnsafeglass.html,2_31.html,2_31.txt
长虹牌,江苏 盐城,http://mp.ppsj.com.cn/echanghong.html,2_32.html,2_32.txt
长河,江苏 无锡,http://mp.ppsj.com.cn/wuxipum.html,2_33.html,2_33.txt
